station_name,place_name,bar,dog_park,restaurant,distance,place_latitude,place_longitude,station_latitude,station_longitude,slots,free_bikes,empty_slots,place_rating
Anniesland Library,Cafe Tantalus,1.0,0.0,0.0,807.0477307566641,55.8829787,-4.3257282,55.890398,-4.324766,8,3,3,0.0
Battlefield - ELECTRIC,The McMillan Southside,1.0,0.0,0.0,927.8818659840424,55.8334989,-4.2754499,55.827395,-4.265319,10,2,7,3.9
Battlefield - ELECTRIC,Sweeney's on the Park,1.0,0.0,0.0,930.7428262009968,55.8331439,-4.2761512,55.827395,-4.265319,10,2,7,3.9
Dalmarnock Railway Station - ELECTRIC,The Bowlers Bar,1.0,0.0,0.0,952.97567794192,55.8467389,-4.2310323,55.842561,-4.217704,8,5,3,4.0
Dalmarnock Railway Station - ELECTRIC,The Seven Ways,1.0,0.0,0.0,955.7676689980764,55.8494641,-4.2269733,55.842561,-4.217704,8,5,3,3.0
Dalmarnock Railway Station - ELECTRIC,Dominion Bar,1.0,0.0,0.0,784.3183231365629,55.8481317,-4.2254105,55.842561,-4.217704,8,5,3,2.0
Dalmarnock Railway Station - ELECTRIC,The Walkers,1.0,0.0,0.0,962.1064141317676,55.8494869,-4.2270875,55.842561,-4.217704,8,5,3,0.0
Queen Margaret Drive / Maryhill Road,The Belle,1.0,0.0,0.0,976.828826414278,55.8764819,-4.2858442,55.8849,-4.281414,8,0,8,4.2
Queen Margaret Drive / Maryhill Road,Bo'Vine Meats & Wines,1.0,0.0,0.0,994.7275289934446,55.8776441473015,-4.29074277669975,55.8849,-4.281414,8,0,8,3.8
Queen Margaret Drive / Maryhill Road,Kelbourne Saint,0.0,0.0,1.0,353.0016352199476,55.8818166,-4.2826323,55.8849,-4.281414,8,0,8,4.5
Glasgow Green,McKinnon's Bar,1.0,0.0,0.0,948.805152820542,55.8562771,-4.2428688,55.84945,-4.23375,12,7,5,4.7
Hampden Park and Ride,Montford House,1.0,0.0,0.0,281.31062647355907,55.8263664245605,-4.24380016326904,55.827974,-4.247278,4,7,0,2.8
Hampden Park and Ride,The Beechwood,1.0,0.0,0.0,495.8485034004749,55.8234253,-4.2486801,55.827974,-4.247278,4,7,0,3.0
Riddrie South,LB Dog Walking Services,0.0,0.0,1.0,948.6020816518604,55.8607374,-4.1833045,55.867405,-4.192788,8,1,7,0.0
Riddrie South,Moriartys,1.0,0.0,0.0,216.6166345382981,55.9115142,-4.3425229,55.867405,-4.192788,8,1,7,0.0
